id.outcome	exposure	outcome	id.exposure	samplesize	SNP	b	se	pval	method	nsnp	Q	Q_df	Q_pval	cat	ncase	ncontrol	pmid	subcat	trait_strict
1	BMI	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	0.471269487	5.137587864	0.463542958	Inverse variance weighted	107	185.9327146	106	2.60E-06	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
2	BMI	Age related macular degeneration, Geographic Atrophy vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	-5.678689623	4.773768055	0.118425906	Inverse variance weighted	108	149.3668861	107	0.004298328	disease	NA	NA	23455636	autoimmune	Age related macular degeneration
3	BMI	Age related macular degeneration, Neovascular Disease vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	5.261724917	5.302237743	0.161641099	Inverse variance weighted	107	158.1225675	106	0.000779583	disease	4529	51844	23455636	autoimmune	Age related macular degeneration
8	BMI	Anorexia Nervosa || GCAN || 2014	n9Sgm0	NA	NA	-0.247604893	0.242543965	0.155299823	Inverse variance weighted	76	96.78422614	75	0.046084452	disease	2907	14860	24514567	autoimmune	Anorexia Nervosa
25	BMI	Autism || PGC || 2013	n9Sgm0	NA	NA	-0.150356691	0.219056426	0.247322913	Inverse variance weighted	74	108.2575855	73	0.00464573	disease	14525	14890	23453885	psychiatric / neurological	Autism
24	BMI	Bipolar disorder || PGC || 2011	n9Sgm0	NA	NA	-0.124446055	0.170732164	0.23382873	Inverse variance weighted	108	151.629679	107	0.002968497	disease	NA	9250	21926972	psychiatric / neurological	Bipolar disorder
13	BMI	Celiac Disease || Immunobase || 2011	n9Sgm0	NA	NA	-0.226532635	0.225148861	0.167101617	Inverse variance weighted	13	17.45794425	12	0.13316769	disease	12041	12228	22057235	autoimmune	Celiac Disease
5	BMI	Chronic kidney disease || CKDGen || 2010	n9Sgm0	NA	NA	0.515682391	5.024491724	0.459223787	Inverse variance weighted	107	107.1881782	106	0.449443916	disease	5807	56430	20383146	kidney	Chronic kidney disease
40	BMI	coronary artery disease || C4D || 2011	n9Sgm0	NA	NA	0.303725719	0.174074044	0.044081228	Inverse variance weighted	44	69.43854556	43	0.006502581	disease	15420	15062	21378988	cardiovascular	coronary artery disease
41	BMI	coronary artery disease || Cardiogram || 2011	n9Sgm0	NA	NA	0.382896578	0.103562021	0.000172835	Inverse variance weighted	108	173.8945141	107	4.65E-05	disease	22233	64762	21378990	cardiovascular	coronary artery disease
44	BMI	coronary artery disease || Cardiogramplusc4d || 2013	n9Sgm0	NA	NA	0.369564607	0.080363878	6.77E-06	Inverse variance weighted	93	126.0252583	92	0.010717353	disease	63746	130681	23202125	cardiovascular	coronary artery disease
29	BMI	ischaemic stroke || dbGAP || 2007	n9Sgm0	NA	NA	-1.359198569	3.706146262	0.357897006	Inverse variance weighted	40	34.00830144	39	0.696681619	disease	249	268	17434096	cardiovascular	ischaemic stroke
14	BMI	Juvenile idiopathic arthritis || Immunobase || 2013	n9Sgm0	NA	NA	-0.384780887	0.646980714	0.281115442	Inverse variance weighted	14	17.17180724	13	0.19156862	disease	2816	13056	23603761	autoimmune	Juvenile idiopathic arthritis
36	BMI	Lung adenocarcinoma || ILCCO || 2014	n9Sgm0	NA	NA	-0.189563551	0.204294877	0.177806083	Inverse variance weighted	105	101.6225872	104	0.547672203	disease	3442	14894	24880342	cancer	Lung adenocarcinoma
37	BMI	Lung cancer (all) || ILCCO || 2014	n9Sgm0	NA	NA	0.092450596	0.126651031	0.233526849	Inverse variance weighted	105	167.8083127	104	7.45E-05	disease	11348	15861	24880342	cancer	Lung cancer (all)
38	BMI	Lung cancer (squamous cell) || ILCCO || 2014	n9Sgm0	NA	NA	0.276914984	0.197734848	0.082179632	Inverse variance weighted	105	159.9912946	104	0.000348917	disease	3275	15038	24880342	cancer	Lung cancer (squamous cell)
26	BMI	Major depressive disorder || PGC || 2013	n9Sgm0	NA	NA	0.330975772	0.168722318	0.02680781	Inverse variance weighted	74	87.42958116	73	0.119426471	disease	9240	9519	22472876	psychiatric / neurological	Major depressive disorder
22	BMI	melanoma || Law et al || NA	n9Sgm0	NA	NA	0.196315054	0.478976553	0.341734863	Inverse variance weighted	57	48.69991225	56	0.744897198	disease	NA	NA	0	cancer	melanoma
19	BMI	Multiple Sclerosis || IMSGC || 2013	n9Sgm0	NA	NA	0.05447424	0.192994191	0.390937582	Inverse variance weighted	15	14.11800326	14	0.440957214	disease	14498	24091	24076602	autoimmune	Multiple Sclerosis
15	BMI	Narcolepsy || Immunobase || 2013	n9Sgm0	NA	NA	-0.096926865	0.439895606	0.414655002	Inverse variance weighted	13	27.63866503	12	0.006245918	disease	1886	10421	23459209	autoimmune	Narcolepsy
31	BMI	Neuroblastoma || dbGAP || 2013	n9Sgm0	NA	NA	0.288162336	0.421042429	0.248696817	Inverse variance weighted	44	35.91004884	43	0.769778051	disease	1627	3254	23222812	cancer	Neuroblastoma
32	BMI	Pancreatic cancer || dbGAP || 2009	n9Sgm0	NA	NA	0.846592241	0.508242486	0.051436672	Inverse variance weighted	45	64.65118903	44	0.022899272	disease	1896	1939	19648918	cancer	Pancreatic cancer
28	BMI	Parkinson's disease || dbGAP || 2009	n9Sgm0	NA	NA	0.418894063	0.41341179	0.158512824	Inverse variance weighted	41	54.55865041	40	0.062218219	disease	1713	3978	19915575	psychiatric / neurological	Parkinson's disease
16	BMI	Primary Biliary Cirrhosis || Immunobase || 2012	n9Sgm0	NA	NA	0.758711385	0.344884756	0.022554447	Inverse variance weighted	15	30.75128399	14	0.006005246	disease	2861	8514	22961000	autoimmune	Primary Biliary Cirrhosis
33	BMI	Prostate cancer || dbGAP || 2011	n9Sgm0	NA	NA	-0.028564067	0.950311852	0.488222715	Inverse variance weighted	15	10.28857245	14	0.740795848	disease	1175	1100	21372204	cancer	Prostate cancer
17	BMI	Psoriasis || Immunobase || 2012	n9Sgm0	NA	NA	0.447016935	0.162413261	0.008231993	Inverse variance weighted	14	101.535392	13	8.36E-16	disease	10588	22806	23143594	autoimmune	Psoriasis
35	BMI	Rheumatoid Arthritis trans ethnic || Okada || 2014	n9Sgm0	NA	NA	-0.146880656	0.11290297	0.098062345	Inverse variance weighted	106	168.2634252	105	8.77E-05	disease	19234	61565	24390342	bone disease	Rheumatoid arthritis
20	BMI	Schizophrenia || PGC || 2014	n9Sgm0	NA	NA	-0.057003651	0.08108598	0.241797653	Inverse variance weighted	107	395.9444854	106	4.68E-35	disease	35476	46839	25056061	psychiatric / neurological	Schizophrenia
30	BMI	Systemic lupus erythematosus || dbGAP || 2008	n9Sgm0	NA	NA	-0.164363451	0.454663882	0.359745995	Inverse variance weighted	44	48.61456252	43	0.257154447	disease	1311	1783	18204098	autoimmune	Systemic lupus erythematosus
42	BMI	T2D || diagram || 2012	n9Sgm0	NA	NA	0.961522092	0.090801435	2.26E-18	Inverse variance weighted	102	965.3968104	101	4.20E-141	disease	NA	NA	22885922	cardiovascular	T2D
43	BMI	T2D || diagram || 2012	n9Sgm0	NA	NA	0.910188447	0.119573034	5.62E-12	Inverse variance weighted	108	477.9276142	107	2.64E-48	disease	NA	NA	22885922	cardiovascular	T2D
6	BMI	T2D || diagram || 2014	n9Sgm0	NA	NA	0.82971763	0.090455635	1.77E-15	Inverse variance weighted	109	540.7576213	108	8.59E-59	disease	NA	NA	24509480	cardiovascular	T2D
18	BMI	Type 1 Diabetes || Immunobase || 2015	n9Sgm0	NA	NA	-0.10067315	0.22544323	0.331271758	Inverse variance weighted	14	48.84987823	13	4.69E-06	disease	12079	12262	25751624	autoimmune	Type 1 Diabetes
34	BMI	Upper gastrointestinal cancers || dbGAP || 2013	n9Sgm0	NA	NA	1.025780809	0.498455296	0.023162724	Inverse variance weighted	40	39.04375572	39	0.467911233	disease	3700	2111	23504502	cancer	Upper gastrointestinal cancers
