Phenotype	SNPs	Beta	SE	Pvalue	subtype	method
weight 	11	-0.074129113	0.172036896	0.666547783	adenocarcinoma	IVW
weight 	11	0.50209879	0.305819146	0.100628127	small cell carcinoma	IVW
weight 	11	0.148861161	0.236203817	0.528548464	squamous cell carcinoma	IVW
waist-to-hip ratio	35	-0.108430498	0.138448675	0.433520298	adenocarcinoma	IVW
waist-to-hip ratio	35	0.3571523	0.230521332	0.121303782	small cell carcinoma	IVW
waist circumference	45	0.053310036	0.13324229	0.689083991	adenocarcinoma	IVW
waist circumference	45	0.405970908	0.236686628	0.086303916	small cell carcinoma	IVW
waist circumference	45	0.298663935	0.185228725	0.106873587	squamous cell carcinoma	IVW
Vitamin E 	3	-0.067447376	0.14605184	0.644221629	adenocarcinoma	IVW
Vitamin E 	3	-0.218790547	0.239921207	0.361807322	small cell carcinoma	IVW
Vitamin E 	3	0.196348734	0.157221665	0.211714222	squamous cell carcinoma	IVW
Vitamin D 	3	0.952158618	0.737786544	0.19685591	adenocarcinoma	IVW
Vitamin D 	3	-2.112315963	1.322824349	0.110305232	small cell carcinoma	IVW
Vitamin D 	3	-0.456417938	0.910661306	0.616234631	squamous cell carcinoma	IVW
Vitamin B6	1	-0.017014743	0.089565517	0.849332803	adenocarcinoma	IVW
Vitamin B6	1	0.117419725	0.162912414	0.471061067	small cell carcinoma	IVW
Vitamin B6	1	-0.037554648	0.104234897	0.718631302	squamous cell carcinoma	IVW
Vitamin B12 	3	0.044548105	0.181006128	0.805594146	adenocarcinoma	IVW
Vitamin B12 	3	0.160351679	0.207392379	0.439415748	small cell carcinoma	IVW
Vitamin B12 	3	0.018546337	0.179396914	0.917660126	squamous cell carcinoma	IVW
tryptophan	18	0.015407138	0.049561109	0.755898281	adenocarcinoma	IVW
tryptophan	18	-0.024743025	0.088860667	0.780668905	small cell carcinoma	IVW
tryptophan	18	0.081847837	0.062176851	0.188049371	squamous cell carcinoma	IVW
Total cholesterol	117	-0.018752644	0.043515005	0.666507183	adenocarcinoma	IVW
Total cholesterol	116	-0.162697783	0.076911345	0.034396397	small cell carcinoma	IVW
Total cholesterol	117	-0.118286466	0.05127015	0.021048047	squamous cell carcinoma	IVW
Tot.FA	12	0.001346056	0.054818076	0.980409939	adenocarcinoma	IVW
Tot.FA	12	-0.068435142	0.142213816	0.630365099	small cell carcinoma	IVW
Tot.FA	12	-0.079144338	0.082006019	0.334492717	squamous cell carcinoma	IVW
Thyroid function 	19	0.096121916	0.091616773	0.29409814	adenocarcinoma	IVW
Thyroid function 	19	0.229110943	0.095787319	0.016762717	small cell carcinoma	IVW
Thyroid function 	19	0.024013521	0.07495266	0.748678384	squamous cell carcinoma	IVW
Telomere length	3	1.042600797	0.317726064	0.001032764	adenocarcinoma	IVW
Telomere length	3	0.235109196	0.27833148	0.398273153	small cell carcinoma	IVW
Telomere length	3	-0.172723506	0.177790219	0.33129849	squamous cell carcinoma	IVW
Smoking	3	2.356907321	0.477385821	7.92879e-07	adenocarcinoma	IVW
Smoking	3	2.749314467	0.554697096	7.18021e-07	small cell carcinoma	IVW
Smoking	3	2.476996849	0.511239385	1.26559e-06	squamous cell carcinoma	IVW
Selenium 	1	-0.081628484	0.101549488	0.421495393	adenocarcinoma	IVW
Selenium 	1	-0.044911195	0.182491222	0.805604377	small cell carcinoma	IVW
Selenium 	1	-0.010361562	0.116825702	0.929326305	squamous cell carcinoma	IVW
Schizophrenia 	88	0.075169413	0.042785145	0.07893409	adenocarcinoma	IVW
Schizophrenia 	86	0.050658253	0.065560909	0.439705914	small cell carcinoma	IVW
Schizophrenia 	88	0.083390041	0.051323745	0.10420842	squamous cell carcinoma	IVW
Retinol 	2	0.084135754	0.12208765	0.490733775	adenocarcinoma	IVW
Retinol 	2	0.282505114	0.155768088	0.069735265	small cell carcinoma	IVW
Retinol 	2	0.059210238	0.17621162	0.736857455	squamous cell carcinoma	IVW
PUFA	18	0.053921852	0.035150158	0.125019094	adenocarcinoma	IVW
PUFA	17	0.040750469	0.061634548	0.508507932	small cell carcinoma	IVW
PUFA	18	0.074869129	0.04002761	0.061423137	squamous cell carcinoma	IVW
MUFA	7	0.039981702	0.070434174	0.570275122	adenocarcinoma	IVW
MUFA	7	-0.025358408	0.119175184	0.831496522	small cell carcinoma	IVW
MUFA	7	0.072590021	0.078215686	0.353368675	squamous cell carcinoma	IVW
methionine	1	-0.064539624	0.178640464	0.717888481	adenocarcinoma	IVW
methionine	1	0.423623695	0.313715256	0.17690548	small cell carcinoma	IVW
methionine	1	-0.228754162	0.203187812	0.260239093	squamous cell carcinoma	IVW
