id.outcome	exposure	outcome	id.exposure	samplesize	SNP	b	se	pval	method	nsnp	Q	Q_df	Q_pval	cat	ncase	ncontrol	pmid	subcat	trait_strict
1	ADCY5_fastingGlucose	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	Rh63NM	NA	NA	-63.32206577	NA	NA	Maximum likelihood	1	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	ADCY5_fastingGlucose	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	Rh63NM	NA	NA	-63.32206577	43.47826087	0.14528	Wald ratio	1	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	ADRA2A_fastingGlucose	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	yGboZR	NA	NA	9.925893146	NA	NA	Maximum likelihood	1	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	ADRA2A_fastingGlucose	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	yGboZR	NA	NA	9.925893146	37.03703704	0.7887	Wald ratio	1	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	ADRA2A_gluc_eqtl	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	O5mHVm	NA	NA	-0.757434768	NA	NA	Maximum likelihood	1	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	ADRA2A_gluc_eqtl	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	O5mHVm	NA	NA	-0.757434768	1.886499489	0.68805	Wald ratio	1	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	BMI	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	0.471269487	5.137587864	0.463542958	Inverse variance weighted	107	185.9327146	106	2.60E-06	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	BMI	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	7.2205337	4.38917624	0.051458127	Maximum likelihood	107	187.6148165	106	1.77E-06	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	BMI	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	9.908087477	11.30456273	0.382776473	MR Egger	107	187.5844154	105	1.32E-06	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
1	BMI	Age related macular degeneration, Advanced AMD vs. Control || AMDGene || 2013	n9Sgm0	NA	NA	7.421869575	3.351921562	0.014477642	Weighted median	107	NA	NA	NA	disease	7650	51844	23455636	autoimmune	Age related macular degeneration
